id_cliente;nombre;edad;ingreso_mensual;monto_compra;cantidad_pedidos;ciudad;plan;activo;fecha_registro;pais;comentario
CL-00294;Cliente 294;60.0;₡434.861,11;192219.79;5;Heredia;Basico;Si;09/10/2024;Costa Rica;
CL-00095;Cliente 95;29.0;₡784.151,65;255804.24;6;  Puntarenas ;Empresarial;Si;16/01/2025;Costa Rica;
CL-00282;Cliente 282;59.0;₡724.019,52;73875.43;4;Alajuela;Basico;Si;26/02/2024;Costa Rica;
CL-00160;Cliente 160;56.0;₡519.550,11;;0;Alajuela;Basico;Si;31/08/2023;Costa Rica;
CL-00133;Cliente 133;24.0;₡1.223.392,53;;4;  Puntarenas ;Basico;Si;23/06/2023;Costa Rica;
CL-00090;Cliente 90;68.0;₡861.750,59;108205.6;2;Heredia;Basico;No;09/11/2024;Costa Rica;
CL-00156;Cliente 156;64.0;₡783.114,95;174568.98;6;  Puntarenas ;Basico;No;09/05/2023;Costa Rica;
CL-00035;Cliente 35;66.0;₡1.408.016,70;37964.5;3;  Heredia ;Basico;Si;01/07/2023;Costa Rica;
CL-00073;Cliente 73;51.0;₡344.980,95;140808.62;6;Alajuela;Basico;Si;09/05/2024;Costa Rica;
CL-00286;Cliente 286;58.0;₡390.880,39;47991.07;2;Puntarenas;Premium;Si;06/03/2024;Costa Rica;
CL-00268;Cliente 268;57.0;₡1.141.867,84;65152.91;6;Cartago;Empresarial;Si;11/11/2023;Costa Rica;
CL-00140;Cliente 140;65.0;₡942.748,26;99462.16;0;Heredia;Basico;Si;04/04/2025;Costa Rica;
CL-00258;Cliente 258;62.0;₡394.599,85;168144.69;1;Heredia;Basico;No;16/09/2023;Costa Rica;
CL-00295;Cliente 295;70.0;₡938.444,11;86069.27;2;  Alajuela ;Premium;No;03/07/2023;Costa Rica;
CL-00112;Cliente 112;;₡935.292,68;121949.51;5;Puntarenas;Basico;No;15/08/2024;Costa Rica;
CL-00013;Cliente 13;;₡636.684,04;99767.28;6;Cartago;Basico;Si;25/06/2024;Costa Rica;
CL-00088;Cliente 88;20.0;₡678.017,72;148109.71;6;San Jose;Premium;Si;05/05/2023;Costa Rica;
CL-00165;Cliente 165;67.0;₡1.234.627,79;116727.99;4;  Heredia ;Basico;Si;29/03/2024;Costa Rica;
CL-00097;Cliente 97;34.0;₡537.960,68;182386.8;1;Puntarenas;Premium;No;21/05/2024;Costa Rica;
CL-00219;Cliente 219;32.0;₡976.240,29;64699.35;3;Heredia;Empresarial;Si;06/08/2024;Costa Rica;
CL-00042;Cliente 42;22.0;₡606.337,43;142630.48;6;  Alajuela ;Premium;Si;16/06/2025;Costa Rica;
CL-00064;Cliente 64;18.0;₡625.280,28;138418.98;3;San Jose;Empresarial;Si;30/03/2024;Costa Rica;
CL-00164;Cliente 164;33.0;₡840.847,35;166038.72;5;Cartago;Premium;Si;06/04/2024;Costa Rica;
CL-00014;Cliente 14;;₡998.837,63;66026.27;3;Puntarenas;Premium;Si;04/12/2023;Costa Rica;
CL-00180;Cliente 180;59.0;₡1.267.878,20;119615.55;8;  Heredia ;Basico;Si;11/02/2023;Costa Rica;
CL-00018;Cliente 18;57.0;₡695.521,83;85673.48;3;Heredia;Empresarial;Si;13/01/2023;Costa Rica;
CL-00235;Cliente 235;19.0;₡704.146,83;65960.77;5;Puntarenas;Basico;Si;12/01/2024;Costa Rica;
CL-00190;Cliente 190;74.0;₡666.972,99;76223.44;3;Heredia;Premium;Si;13/12/2023;Costa Rica;
CL-00091;Cliente 91;36.0;₡791.535,55;48188.43;4;Heredia;Premium;Si;10/06/2024;Costa Rica;
CL-00052;Cliente 52;18.0;₡1.049.561,11;63279.57;4;  Puntarenas ;Premium;Si;05/02/2025;Costa Rica;
CL-00086;Cliente 86;35.0;₡760.051,58;84215.53;4;  Puntarenas ;Basico;Si;13/03/2024;Costa Rica;
CL-00125;Cliente 125;30.0;₡794.391,84;42937.54;3;  Alajuela ;Empresarial;Si;06/07/2024;Costa Rica;
CL-00089;Cliente 89;37.0;₡672.282,52;130297.81;4;  Heredia ;Basico;Si;10/03/2023;Costa Rica;
CL-00223;Cliente 223;50.0;₡1.641.561,64;291289.95;4;Alajuela;Empresarial;Si;29/09/2023;Costa Rica;
CL-00187;Cliente 187;48.0;₡590.772,07;60210.65;1;Alajuela;Empresarial;Si;09/02/2025;Costa Rica;
CL-00238;Cliente 238;;₡614.018,34;87020.0;2;  Heredia ;Basico;Si;19/09/2024;Costa Rica;
CL-00244;Cliente 244;39.0;₡371.032,66;64997.0;3;San Jose;Basico;Si;19/05/2024;Costa Rica;
CL-00087;Cliente 87;49.0;₡992.637,87;164805.31;6;Alajuela;Basico;Si;14/05/2024;Costa Rica;
CL-00253;Cliente 253;26.0;₡1.127.890,54;166399.55;5;Alajuela;Basico;Si;07/03/2025;Costa Rica;
CL-00117;Cliente 117;61.0;₡1.070.913,39;97079.83;5;Cartago;Premium;Si;26/12/2024;Costa Rica;
CL-00146;Cliente 146;47.0;₡632.834,59;186563.84;4;Cartago;Premium;Si;19/09/2024;Costa Rica;
CL-00159;Cliente 159;47.0;₡991.533,33;44469.26;5;San Jose;-;No;15/01/2024;Costa Rica;
CL-00212;sin dato;41.0;₡809.306,64;65776.66;6;San Jose;Basico;No;17/06/2024;Costa Rica;
CL-00234;Cliente 234;61.0;₡1.151.604,51;70078.75;7;N/A;Premium;Si;28/02/2024;Costa Rica;
CL-00196;Cliente 196;63.0;₡502.243,88;;3;Alajuela;Premium;No;21/04/2025;Costa Rica;
CL-00191;Cliente 191;69.0;₡621.392,60;138787.73;3;  San Jose ;Empresarial;Si;03/12/2024;Costa Rica;
CL-00171;Cliente 171;72.0;₡1.353.855,82;117479.45;6;Puntarenas;Basico;No;28/04/2025;Costa Rica;
CL-00126;Cliente 126;30.0;₡981.551,42;67502.96;7;  Heredia ;Basico;No;29/08/2023;Costa Rica;
CL-00298;Cliente 298;25.0;₡743.850,65;247395.65;6;Puntarenas;Premium;Si;23/05/2025;Costa Rica;
CL-00205;Cliente 205;46.0;₡643.897,23;64681.23;4;Heredia;Basico;Si;05/05/2023;Costa Rica;
CL-00072;Cliente 72;53.0;₡894.119,76;369087.82;1;Puntarenas;Premium;Si;28/01/2025;Costa Rica;
CL-00227;Cliente 227;73.0;₡825.066,31;130910.17;1;  Heredia ;Premium;Si;16/12/2023;Costa Rica;
CL-00264;Cliente 264;67.0;₡1.086.339,64;69462.43;6;Alajuela;Basico;Si;03/12/2023;Costa Rica;
CL-00206;Cliente 206;34.0;₡445.506,26;169124.92;3;Alajuela;Empresarial;Si;01/07/2024;Costa Rica;
CL-00240;Cliente 240;43.0;₡1.007.026,47;61636.54;4;Alajuela;Basico;Si;02/08/2023;Costa Rica;
CL-00082;Cliente 82;48.0;₡798.345,01;212411.33;5;  Heredia ;Basico;Si;20/12/2023;Costa Rica;
CL-00293;Cliente 293;64.0;₡650.585,33;192713.77;6;  Heredia ;Empresarial;Si;10/08/2024;Costa Rica;
CL-00096;Cliente 96;65.0;₡781.824,21;92592.4;4;N/A;Premium;Si;29/11/2023;Costa Rica;
CL-00134;Cliente 134;39.0;₡1.094.176,43;70252.27;2;Heredia;Basico;No;09/05/2024;Costa Rica;
CL-00204;Cliente 204;36.0;₡919.437,94;122666.38;2;Heredia;Premium;Si;12/05/2024;Costa Rica;
CL-00222;Cliente 222;60.0;₡628.997,75;159240.73;2;San Jose;Premium;Si;22/04/2023;Costa Rica;
CL-00300;Cliente 300;65.0;₡846.062,88;80828.74;1;Cartago;Premium;No;12/07/2024;Costa Rica;revisar
CL-00138;Cliente 138;35.0;₡868.772,91;69936.04;4;  Cartago ;Basico;Si;22/05/2024;Costa Rica;
CL-00101;Cliente 101;59.0;₡835.098,32;161616.88;4;  Alajuela ;Premium;Si;13/03/2025;Costa Rica;
CL-00226;Cliente 226;66.0;₡162.574,01;23854.21;5;San Jose;Premium;Si;07/02/2023;Costa Rica;
CL-00230;Cliente 230;27.0;₡872.149,56;120397.32;1;Puntarenas;Basico;Si;16/03/2024;Costa Rica;
CL-00292;Cliente 292;67.0;₡21.544,76;109804.04;5;  Puntarenas ;Basico;Si;17/09/2024;Costa Rica;
CL-00199;Cliente 199;39.0;₡357.570,11;137869.92;3;Alajuela;Basico;No;28/05/2023;Costa Rica;
CL-00287;Cliente 287;;₡810.576,99;83229.57;8;Alajuela;Empresarial;No;07/05/2023;Costa Rica;
CL-00009;Cliente 9;46.0;₡876.446,48;145523.64;3;  Cartago ;Basico;Si;16/02/2024;Costa Rica;
CL-00108;Cliente 108;71.0;₡1.201.418,04;;6;Cartago;Basico;No;21/11/2024;Costa Rica;
CL-00054;Cliente 54;72.0;₡965.615,96;77870.03;5;Heredia;Basico;Si;05/01/2023;Costa Rica;
CL-00028;Cliente 28;37.0;₡1.364.314,07;177293.0;1;Cartago;Empresarial;Si;09/05/2024;Costa Rica;
CL-00225;Cliente 225;49.0;₡788.941,96;77621.31;6;Cartago;Basico;Si;09/01/2025;Costa Rica;
CL-00061;Cliente 61;28.0;₡772.505,10;181145.33;4;Heredia;Basico;No;01/02/2023;Costa Rica;
CL-00093;Cliente 93;73.0;₡903.487,07;46790.76;6;N/A;Premium;Si;10/01/2023;Costa Rica;
CL-00033;Cliente 33;73.0;₡571.202,86;71324.08;1;Puntarenas;Basico;Si;10/12/2024;Costa Rica;
CL-00290;Cliente 290;61.0;₡665.942,92;45416.16;8;Puntarenas;Premium;Si;31/05/2024;Costa Rica;
CL-00186;Cliente 186;39.0;₡942.906,74;110194.54;3;Cartago;Empresarial;Si;01/02/2023;Costa Rica;
CL-00136;Cliente 136;45.0;₡963.117,51;103489.88;3;Puntarenas;Basico;Si;13/01/2025;Costa Rica;revisar
CL-00023;Cliente 23;62.0;₡854.346,68;70988.42;2;Puntarenas;Premium;Si;27/07/2024;Costa Rica;
CL-00210;Cliente 210;50.0;₡417.637,76;172938.91;1;Cartago;-;Si;30/09/2023;Costa Rica;
CL-00063;Cliente 63;53.0;₡932.031,65;130306.82;4;San Jose;Basico;Si;28/01/2025;Costa Rica;
CL-00124;Cliente 124;47.0;₡781.058,82;90432.7;3;Alajuela;Basico;No;16/10/2024;Costa Rica;
CL-00261;Cliente 261;60.0;₡971.067,96;165279.14;2;Heredia;-;No;30/04/2023;Costa Rica;
CL-00192;Cliente 192;73.0;₡941.292,15;127865.38;5;  San Jose ;Basico;Si;06/01/2023;Costa Rica;
CL-00019;Cliente 19;56.0;₡767.985,16;161375.97;4;Alajuela;Basico;Si;15/12/2024;Costa Rica;
CL-00272;Cliente 272;62.0;₡1.173.863,75;;3;Heredia;Basico;Si;16/01/2025;Costa Rica;
CL-00053;Cliente 53;34.0;₡706.474,64;218626.07;5;Puntarenas;Empresarial;Si;30/07/2024;Costa Rica;
CL-00174;Cliente 174;27.0;₡797.852,93;76705.84;3;Puntarenas;Empresarial;Si;05/10/2023;Costa Rica;
CL-00036;Cliente 36;18.0;₡400.817,91;161280.55;2;  San Jose ;Empresarial;No;12/06/2023;Costa Rica;
CL-00194;Cliente 194;30.0;₡916.504,55;86547.44;6;  Alajuela ;Basico;Si;13/07/2023;Costa Rica;
CL-00179;Cliente 179;30.0;₡828.863,46;103294.23;4;Cartago;Premium;Si;28/11/2024;Costa Rica;
CL-00168;Cliente 168;59.0;₡1.157.911,40;136673.93;3;Puntarenas;Premium;Si;06/01/2024;Costa Rica;
CL-00121;Cliente 121;68.0;₡817.699,88;71743.3;3;Alajuela;Premium;Si;01/05/2024;Costa Rica;
CL-00145;Cliente 145;59.0;₡999.850,82;29783.3;3;Puntarenas;Premium;Si;04/02/2023;Costa Rica;
CL-00020;Cliente 20;22.0;₡602.961,97;193494.81;3;Heredia;Empresarial;No;15/03/2024;Costa Rica;
CL-00228;Cliente 228;56.0;₡871.752,31;310159.04;2;  Cartago ;Basico;Si;09/05/2023;Costa Rica;
CL-00045;Cliente 45;41.0;₡822.705,62;59054.21;7;  Cartago ;Basico;Si;06/05/2025;Costa Rica;
CL-00069;Cliente 69;;₡276.775,34;23456.63;3;San Jose;Empresarial;Si;27/03/2025;Costa Rica;
